date,type,reg,operator,location,fatalities,damage_level
30-03-2022,Cessna 208 Caravan I,D-FLIC,"Skydive Costa d'Argento, lsf Gladwings",SÃ¤ntis Mountain,1,High
01-04-2022,Embraer EMB-110P2 Bandeirante,TG-TAN,TAG Airlines,Belize City-Philip S.W. Goldson International Airport (BZE),0,Medium
02-04-2022,Learjet 75,N877W,Georgia Crown Distributing Co.,"Morristown Municipal Airport, NJ (MMU)",0,Medium
07-04-2022,Boeing 757-27A (PCF),HP-2010DAE,DHL Aero Expreso,San José-Juan Santamaria International Airport (SJO),0,High
08-04-2022,Aero Modifications AMI DC-3-65TP,HK-5016,ALIANSA Colombia,San Felipe Airport,0,Medium
11-04-2022,Beechcraft A100 King Air,C-GYQK,Thunder Airlines,"Timmins Airport, ON (YTS)",0,Medium
13-04-2022,Gulfstream American G-1159 Gulfstream II B,N511PK,private,within Venezuela,0,High
13-04-2022,Basler BT-67 Turbo 67,PNC0257,Servicio Aéreo de Policia,Villavicencio-La Vanguardia Airport (VVC),0,Medium
13-04-2022,Cessna 208B Grand Caravan,N928JP,Gem Air,"0,7 km NE of Burley Municipal Airport, ID (BYI)",1,High
14-04-2022,Fairchild SA227-DC Metro 23,N820DC,Denver Air Connection,"Denver International Airport, CO (DEN/KDEN)",0,Medium
17-04-2022,Embraer EMB-505 Phenom 300,PP-LGD,VOAR Cooperativa,"Maraú-Barra Grande Airport, BA (SIRI)",0,Medium
17-04-2022,Cessna 525B CitationJet CJ3,N225SC,GP Aviation LLC,"Caldwell Wright Airport, NJ (CDW)",0,Medium
22-04-2022,Antonov An-26B-100,UR-UZB,Constanta Airlines,Mykhailivka,1,High
26-04-2022,Boeing 737-8AS (WL),EI-ENK,Ryanair,Almería Airport (LEI),0,Low
30-04-2022,Beechcraft 99A Airliner,N699CZ,Freight Runners Express,"Milwaukee-General Mitchell Airport (MKE/KMKE), Milwaukee, WI",0,Medium
30-04-2022,Cessna 208B Grand Caravan,F-GXMP,Centre Ecole de Parachutisme Sportif de l'AriÃ¨ge,Pamiers/Les Pujols Airport,0,Medium
03-05-2022,Shorts 360-300,N744LG,Air Cargo Carriers,San Juan-Luis Muñoz Marín International Airport (SJU),0,Medium
06-05-2022,Beechcraft 200 Super King Air,CC-CDY,Sociedad De Transporte Aéreo Movi Air SPA,Santiago-Arturo Merino Benitez Airport (SCL),0,Medium
06-05-2022,Boeing 737-82R (WL),YR-BMM,Blue Air,Napoli-Capodichino Airport (NAP),0,Medium
10-05-2022,Boeing 737-883 (WL),LN-RRH,SAS Scandinavian Airlines,between Stavanger and Oslo,0,Low
11-05-2022,Viking Air DHC-6 Twin Otter 400,TJ-TIM,Caverton Helicopters (Cameroun) Ltd.,near Nanga Eboko,11,High
11-05-2022,Cessna 208 Caravan I,PT-OQR,"LBK ServiÃ§o Aéreo Especializado, opf Skydive4Fun","Boituva, SP",2,Medium
12-05-2022,Airbus A319-115 (WL),B-6425,Tibet Airlines,Chongqing Jiangbei International Airport (CKG/ZUCK),0,High
20-05-2022,Embraer EMB-110P1 Bandeirante,PT-SHN,Sales Taxi Aéreo,"Eldorado do Sul, RS",0,Medium
21-05-2022,Boeing 737-7H4 (WL),N256WN,Southwest Airlines,"Tacoma, Washington",0,Low
