date,type,reg,operator,location,fatalities,damage_level
26-01-2021,Harbin Y-12E,AF-222,Zambian Air Force,Mukinge Mission Airstrip,0,Medium
28-01-2021,Beechcraft B300 King Air 350,N217US,MM-Air LLC,"Davenport Airport, IA (DVN)",0,Medium
29-01-2021,Beechcraft 100 King Air,others,private,"Crooked Tree, Orange Walk",0,High
01-02-2021,Boeing 747-8KZF,JA13KZ,Nippon Cargo Airlines,Tokyo-Narita International Airport (NRT/RJAA),0,Medium
08-02-2021,Airbus A320-271N,N918NK,Spirit Airlines,"Fort Lauderdale, Florida",0,Low
08-02-2021,Embraer EMB-500 Phenom 100,9H-FAM,Luxwing,Paris-Le Bourget Airport (LBG),0,Medium
09-02-2021,Antonov An-12BK,RF-95416,Russian Air Force,Iturup Airport (ITU),0,Medium
10-02-2021,Airbus A320-214 (WL),HZ-FAB,Flyadeal,Abha International Airport (OHB),0,Medium
13-02-2021,Dassault Falcon 900EX EASy,N823RC,Aerospike Iron LLC,"San Diego-Montgomery-Gibbs Executive Airport, CA (MYF)",0,Medium
14-02-2021,de Havilland Canada DHC-6 Twin Otter 300,8Q-RAE,Manta Air,Malé-Velana International Airport (MLE),0,Medium
15-02-2021,de Havilland Canada DHC-6 Twin Otter 300,F-RACA,Armée de l'air et de l'espace,Blois-Le-Breuil airfield (LFOQ),0,Medium
18-02-2021,Learjet 55C,N559RA,Royal Air Freight,"Jeffersonville-Clark Regional Airport, IN (JVY)",0,Medium
20-02-2021,Boeing 737-86N (WL),VT-GHE,Air India Express,Vijayawada Airport (VGA),0,Medium
20-02-2021,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FFVZ,Wings Over Kississing,"Kaskattama Airstrip, MB",0,Medium
21-02-2021,Beechcraft 200 Super King Air,others,private,"San Andrés, Petén",0,High
21-02-2021,Learjet 45XR,3912,Fuerza Aérea Mexicana,near Xalapa Airport (JAL),6,High
21-02-2021,Beechcraft B300 King Air 350,NAF201,Nigerian Air Force - NAF,NE of Abuja-Nnamdi Azikiwe International Airport (ABV),7,High
26-02-2021,Antonov An-2T,UP-A0351,Asia Continental Airlines,near Boraldai,0,Medium
28-02-2021,Douglas DC-3C,HK-2006,ALIANSA Colombia,Monfort Airport (MFB),0,Medium
01-03-2021,Beechcraft B300 King Air 350i,B-10GD,"Beidahuang General Airlines, opf China Met, Administration","Shanghu, Ji'an County",5,High
02-03-2021,Let L-410UVP-E,(HK-4274),South Sudan Supreme Airlines,Pieri,10,High
04-03-2021,Fokker 100,EP-CFM,Iran Air,Isfahan Airport,0,Low
07-03-2021,Embraer EMB-120ER Brasilia,N233SW,Berry Aviation,"Detroit-Willow Run Airport, MI (YIP)",0,Medium
10-03-2021,Cessna 208B Grand Caravan,PK-MAD,Mission Aviation Fellowship - MAF,Angguruk Airstrip,0,Medium
12-03-2021,Cessna 208B Grand Caravan,N407GV,Grant Aviation,"Chevak Airport, AK (VAK)",0,Medium
13-03-2021,Antonov An-26,02 white,Kazakhstan Border Guards,Almaty Airport (ALA),4,High
15-03-2021,Boeing 777-223ER,N789AN,American Airlines,"Fort Worth, Texas",0,Low
16-03-2021,Bombardier CRJ-701ER,N706SK,Skywest Airlines,"Los Angeles International Airport, CA (LAX/KLAX)",0,Low
18-03-2021,Airbus A320-232,XA-VAZ,Viva Aerobus,Puerto Vallarta-Gustavo D. Ordaz Airport (PVR),0,Medium
19-03-2021,Antonov An-2T,YV3312,Venezuela Flight Canaima,Kapaure,0,Medium
20-03-2021,Cessna 208B Grand Caravan,5Y-JKN,Aeronav Air Services,"3,5 km SW of Marsabit Airport (RBT)",2,High
20-03-2021,Boeing 737-4Y0,PK-YSF,Trigana Air Service,Jakarta-Halim Perdana Kusuma Airport (HLP),0,Medium
23-03-2021,Saab 340AF,SP-KPU,SprintAir,Gdansk-Lech Walesa Airport (GDN),0,Medium
25-03-2021,Embraer,others,Mauritania Airlines International,Nouakchott-Oumtounsy International Airport (NKC),0,Low
26-03-2021,Beechcraft B200 Super King Air,5Y-NJS,West Wind Aviation Ltd.,Nairobi,0,High
28-03-2021,Embraer EMB-145LR,N650AE,"American Eagle , opb Piedmont Airlines","Charlotte-Douglas International Airport, NC (CLT/KCLT)",0,Low
02-04-2021,Boeing 737-8AS (WL),9H-QCJ,Malta Air,Malta-Luqa Airport (MLA),0,Low
03-04-2021,Cessna 208B Grand Caravan,N215MC,Everts Air Cargo,"Fairbanks International Airport, AK (FAI/PAFA)",0,Medium
08-04-2021,Antonov An-2,RA-40...,Unknown,Omsk,0,High
09-04-2021,Boeing C-17A Globemaster III,10-0223,United States Air Force - USAF,"Charleston AFB, SC (CHS)",0,Medium
14-04-2021,Cessna 525A CitationJet CJ2+,JA001T,private,"3,7 km W of Osaka/Yao Airport (RJOY)",0,Medium
15-04-2021,Learjet 35A,N354EF,Med Air Inc,"Colorado Springs Airport, CO (COS/KCOS)",0,Medium
16-04-2021,Beechcraft B99 Airliner,N991AK,Lake Clark Air,"Chignik-Lagoon Airport, AK (KCL)",0,Medium
18-04-2021,Learjet 25B,XB-PIZ,Unknown,Toluca-Licenciado Adolfo López Mateos International Airport (TLC),0,Medium
20-04-2021,Learjet 35A,PR-MLA,Eletric Power ConstruÃ§Ã£o,"Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)",1,High
26-04-2021,Cessna 208B Grand Caravan EX,N143CA,Haugland Group Aviation LLC,"near Laceyville, PA",0,Medium
01-05-2021,Cessna 550 Citation II,N803SC,STB Aviation LLC,"Charleston Executive Airport, SC (KJZI)",0,Medium
05-05-2021,Gulfstream G150,N22ST,TLD Aviation I LLC,"Ridgeland Airport, SC",0,Medium
06-05-2021,Beechcraft B200GT King Air 250,VT-MPQ,Government of Madhya Pradesh,Gwalior Airport (GWL),0,Medium
10-05-2021,ATR 72-600 (72-212A),B-17010,Uni Air,Nangang Island-Matsu Nangan Airport (LZN),0,Medium
12-05-2021,Boeing 737-8AS (WL),EI-EGA,Ryanair,Alicante Airport (ALC/LEAL),0,Low
12-05-2021,Swearingen SA226-TC Metro II,N280KL,Key Lime Air,"5,9km N of Denver-Centennial Airport, CO (APA)",0,Medium
19-05-2021,Hawker 800,XB-R..,private,"Sayaxché, Petén",0,High
20-05-2021,IAI 1125 Astra,N388WA,private,"Parque Laguna del Tigre, San Andrés, Petén",0,Medium
21-05-2021,Boeing 737-7H4,N289CT,Southwest Airlines,"Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Low
21-05-2021,Antonov An-2R,RA-33373,Utair,Laytamak Airstrip,0,Medium
21-05-2021,Beechcraft B300 King Air 350i,NAF203,Nigerian Air Force - NAF,near Kaduna Airport (KAD),11,High
28-05-2021,Boeing 767-38E,HL7528,Asiana Airlines,"over Yesan , Chungcheongnam-do",0,Low
28-05-2021,Boeing 737-823 (WL),N834NN,American Airlines,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",0,Medium
29-05-2021,Cessna 501 Citation I/SP,N66BK,JL&GL Productions LP,"near Smyrna Airport, TN (MQY)",7,High
30-05-2021,ATR 72-500 (72-212A),SX-THR,Sky Express,Alexandroupolis-Demokritos Airport (AXD),0,Medium
02-06-2021,Beechcraft 1900C,N219VP,Alpine Air Express,"Denver International Airport, CO (DEN/KDEN)",0,Medium
03-06-2021,Cessna 208B Grand Caravan EX,PK-DPT,Dabi Air Nusantara,Ilaga Airport (ILA),0,High
04-06-2021,Honda HA-420 HondaJet,N10XN,GF Aviation LLC,"Atlanta-Cobb County-Mc Collum Field, GA (KRYY)",0,Medium
05-06-2021,Cessna 208B Supervan 900,N103AN,Paraclub Wiener Neustadt,Wiener Neustadt West Air Base,0,Medium
07-06-2021,Boeing 737-8AL (WL),VT-TGE,Vistara,W of Kolkata,0,Low
10-06-2021,Beechcraft 1900D,4610,Tatmadaw Lei (Myanmar Air Force),near Pyin Oo Lwin,12,High
13-06-2021,Boeing 737-8AS (WL),EI-EVE,Ryanair,Málaga-Costa del Sol Airport (AGP/LEMG),0,Low
14-06-2021,ATR 72-600 (72-212A),VT-IYX,IndiGo Airlines,Hubli Airport (HBX),0,Medium
16-06-2021,Let L-410UVP-E,9S-GRJ,Kin Avia,near Bukavu-Kavumu Airport (BKY),3,High
18-06-2021,Boeing 787-8 Dreamliner,G-ZBJB,British Airways,London Heathrow Airport (LHR),0,Medium
19-06-2021,Let L-410UVP-E,RF-94603,DOSAAF,near Tanay Airfield,5,High
21-06-2021,Rockwell Sabreliner 65,XB-OXV,private,within Jesús María Semprún,0,High
23-06-2021,Gulfstream G280,M-ISTY,INEOS Aviation,GenÃ¨ve-Cointrin Airport (GVA/LSGG),0,Medium
23-06-2021,Lockheed L-100-30 Hercules,others,Ethiopian Air Force,near Gijet,0,High
24-06-2021,Antonov An-2R,RA-01430,private,"3,5 km W of Zaboyskiy, Slavyansky district",0,Medium
25-06-2021,Airbus A321-231,N926UW,American Airlines,"New Orleans, Louisiana",0,Low
25-06-2021,Shorts 360-300,N970AA,Air Cargo Carriers,"Las Vegas-McCarran International Airport, NV (LAS)",0,Medium
25-06-2021,Cessna 208B Supervan 900,PH-FST,Skydive Teuge,2 km W of Teuge Airport,0,Medium
29-06-2021,Airbus A350-941,F-HTYH,Air France,Paris-Charles de Gaulle Airport (CDG/LFPG),0,Low
01-07-2021,Convair CV-580 Airtanker,C-FKFL,Conair,"Penticton Airport, BC (YYF)",0,Medium
01-07-2021,Convair CV-580 Airtanker,C-FHKF,Conair,"Penticton Airport, BC (YYF)",0,Low
02-07-2021,Boeing 737-275C Adv.,N810TA,Transair (Cargo),"9 km WSW off Honolulu-Daniel K. Inouye International Airport, HI (HNL)",0,High
02-07-2021,Cessna 750 Citation X,SX-ECI,Hellenic CAA,Paphos International Airport (PFO/LCPH),0,Medium
04-07-2021,Airbus A321-231,N156AN,American Airlines,"Miami, Florida",0,Low
04-07-2021,Antonov An-2R,UP-A0135,ELISA,"12 km from Karaultobe, Kyzylorda",0,Medium
04-07-2021,Lockheed C-130H Hercules,5125,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),"Patikul, Sulu",53,High
05-07-2021,IAI 1124A Westwind II,N790JR,Transenergie Inc,near Treasure Cay Airport (TCB),2,High
06-07-2021,ATR 42-320,C-GLDE,Transwest Air,"120 nm from Saskatoon, SK",0,Low
06-07-2021,Antonov An-26B-100,RA-26085,Kamchatka Aviation Enterprise,"3,8 km NW of Palana Airport",28,High
07-07-2021,Cessna 208B Grand Caravan,others,Ryan Air,"near Aniak Airport, AK (ANI)",0,Low
08-07-2021,Douglas DC-3C,HK-2820,ALIANSA Colombia,"13,5 km N of Villavicencio-La Vanguardia Airport (VVC)",3,High
11-07-2021,Airbus A320-214,D-AICP,Condor Flugdienst,Kavala-Megas Alexandros Airport (KVA),0,Medium
11-07-2021,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FLLL,Northwestern Air,"31,5 km ENE of Fort Smith, NT",0,Medium
11-07-2021,Cessna 208 Caravan I,C-GUAY,Air Tunilik,"Rex North Mining Camp, QC",0,Medium
14-07-2021,Cessna 208B Grand Caravan EX,8R-ABK,Jags Aviation,Eteringbang Airport (SYET),0,Medium
15-07-2021,de Havilland Canada DHC-3T Vazar Turbine Otter,C-GUTW,Harbour Air,"Ganges Harbor Airport, BC (YGG)",0,Medium
15-07-2021,Cessna 208 Caravan I,C-GIGO,Seair Seaplanes,"Ganges Harbor Airport, BC (YGG)",0,Medium
16-07-2021,Antonov An-28,RA-28728,SiLA - Siberian Light Aviation,52 km SE of Kedrovo,0,Medium
17-07-2021,Cessna 208B Supervan 900,G-OJMP,GoSkydive,Old Sarum Airfield,0,Medium
18-07-2021,ATR 72-500 (72-212A),EC-MSN,"Air Europa Express, opb Aeronova",Madrid-Barajas Adolfo Suárez Airport (MAD),0,Medium
20-07-2021,British Aerospace BAe-125-700A,N611MC,private,"Jesús María Semprún, Zulia",0,High
21-07-2021,Cessna 560XL Citation Excel,N46CF,PV Transport Inc,"Reading Regional Airport/Spaatz Field, PA (RDG)",0,Medium
21-07-2021,de Havilland Canada DHC-8-106,5Y-GRS,Skyward Express,Burahache Airstrip,0,Medium
22-07-2021,Airbus A321-211,N376DN,Delta Air Lines,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",0,Low
25-07-2021,Boeing 737-8JP (WL),SE-RPE,Norwegian Air Sweden,near Nice Airport,0,Low
26-07-2021,Bombardier CL-600-2B16 Challenger 605,N605TR,Aeolus Air Charter,"Truckee Airport, CA (TKF)",6,High
26-07-2021,Cessna 208 Supervan 900,D-FLEC,Skydive Binz,S off Norderney Airfield (NRD),1,High
27-07-2021,Cessna 208B Grand Caravan,ET-AMI,"Abyssinian Flight Services, opf UNWorld Food Programme",near Kombolcha,0,High
31-07-2021,Boeing 737-8AS (WL),EI-EPC,Ryanair,near Barcelona-El Prat Josep Tarradellas Airport (BCN/LEBL),0,Low
03-08-2021,Airbus A300B4-622R (F),D-AEAE,European Air Transport,Lagos-Murtala Muhammed International Airport (LOS),0,Medium
09-08-2021,Gulfstream American G-1159A Gulfstream III,XB-OZA,private,within Jesús María Semprún,0,High
11-08-2021,McDonnell Douglas MD-11F,N296UP,United Parcel Service - UPS,"Phoenix-Sky Harbor International Airport, AZ (PHX)",0,Medium
12-08-2021,Shijiazhuang Y-5B(D),B-8440,Northeast General Aviation Co.,"Nengbei Farm, Heilongjiang Province",0,High
14-08-2021,Britten-Norman BN-2A-III-2 Trislander,8R-GRE,Roraima Airways,7 nm S of Georgetown International Airport (OGL),0,Low
14-08-2021,Bombardier DHC-8-402Q Dash 8,9S-AAN,Congo Airways,Lubumbashi International Airport (FBM/FZQA),0,Low
14-08-2021,Beriev Be-200ChS,RF-88450,Russian Navy,near Kahramanmaras,8,High
16-08-2021,Cessna 208B Grand Caravan,N97HA,Wright Air Service,"near Fairbanks, AK",0,Medium
17-08-2021,Ilyushin Il-112V,41400,United Aircraft Corporation,near Kubinka AFB,3,High
21-08-2021,Airbus A319-132,N806AW,American Airlines,"Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Low
21-08-2021,de Havilland Canada DHC-3T Turbine Otter,N560TR,Brooks Range Aviation,"near Bethel, AK",0,Medium
21-08-2021,Gulfstream G-IV,N277GM,SN 1124 LLC,"Fort Lauderdale-Executive Airport, FL (FXE)",0,Medium
23-08-2021,Boeing 737-990ER,N479AS,Alaska Airlines,"Seattle/Tacoma International Airport, WA (SEA/KSEA)",0,Low
24-08-2021,Cirrus SF50 Vision Jet,N1GG,N1GG LLC,"Lansing-Capital Region International Airport, MI (LAN)",0,High
25-08-2021,Beechcraft 1900D,C-GDSG,SkyJet,"Chevery Airport, QC (YHR/CYHR)",0,Medium
26-08-2021,Embraer EMB-505 Phenom 300,N413N,Nicholas Services LLC,"Elk River, NC (NC06)",0,Medium
27-08-2021,Bombardier CRJ-900LR,C-FOJZ,Air Canada,"Vancouver International Airport, BC (YVR/CYVR)",0,Low
01-09-2021,Boeing 767-332ER (WL),N196DN,Delta Air Lines,"Seattle/Tacoma International Airport, WA (SEA/KSEA)",0,Low
02-09-2021,Cessna 560XLS+ Citation XLS+,N560AR,Brook Haven Properties LLC,"0,4 km N of Plainville-Robertson Airport, CT",4,High
03-09-2021,Raytheon 390 Premier I,N351CW,PB Air LLC,"Naples Airport, FL (APF)",0,Medium
04-09-2021,ATR 72-600 (72-212A),VT-IYM,IndiGo Airlines,en route Tiruchirappalli-Bengaluru,0,Low
04-09-2021,Cessna 560XL Citation Excel,N827JS,Fly Exclusive,"near Salt Lake City International Airport, UT (SLC)",0,Medium
12-09-2021,British Aerospace BAe-125,others,private,Río Catatumbo,0,High
12-09-2021,Let L-410UVP-E20,RA-67042,"Aeroservice, opf SiLA - Siberian Light Aviation",3 km N of Kazachinskoye Airport,4,High
14-09-2021,Raytheon Beechjet 400A,N100FN,Meander Air II LLC,"between Youngstown, OH and Charleston, SC",0,Medium
14-09-2021,Beechcraft B200GT King Air 250,PS-CSM,CSM Agropecuária,"1,5 km N of Piracicaba Airport, SP (QHB)",7,High
15-09-2021,Airbus A320-214,OE-LBY,Austrian Airlines,Berlin Brandenburg-Willy Brandt Airport (BER),0,Medium
15-09-2021,de Havilland Canada DHC-6 Twin Otter 300,PK-OTW,Rimbun Air,"3,4 km from Bilogai/Sugapa Airport (ZGP)",3,High
17-09-2021,Canadair CRJ-200LR,N444ZW,"United Express, opb Air Wisconsin","Asheville Regional Airport, NC (AVL)",0,Medium
20-09-2021,Learjet 35A,ZS-SFV,Impuma Group,Lanseria International Airport (HLA),0,Medium
22-09-2021,Antonov An-26KPA,RA-26673,LPS Flight Checks & Systems,40 km SW of Khabarovsk,6,High
23-09-2021,Airbus A321-271N,N208HA,Hawaiian Airlines,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)",0,Medium
25-09-2021,Cessna 208B Supervan 900,OO-FFB,Paracentrum Vlaanderen,Moorsele Airfield (EBMO),0,Medium
27-09-2021,Saab 340B,UR-ALG,"STP Airways, lsf AeroJet",SÃ£o Tomé Island Airport (TMS/FPST),0,Medium
27-09-2021,Boeing 757-224 (WL),N12125,United Airlines,"Newark-Liberty International Airport, NJ (EWR)",0,Medium
28-09-2021,IAI 1124A Westwind II,PR-BVB,Brasil Vida Táxi Aéreo,"GoiÃ¢nia-Santa Genoveva Airport, GO (GYN)",0,Medium
29-09-2021,Britten-Norman BN-2B-26 Islander,J8-VBI,SVG Air,Montserrat-John A. Osborne Airport (MNI),0,Medium
01-10-2021,Embraer ERJ-175LR,N730YX,"United Express, opb Republic Airlines","Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Medium
01-10-2021,Embraer ERJ-175LR,N142SY,"United Express, opb SkyWest Airlines","Chicago-O'Hare International Airport, IL (ORD/KORD)",0,Low
05-10-2021,Dassault Falcon 20C,N283SA,Sierra West Airlines,"1,3 km W of Thomson-McDuffie County Airport, GA",2,High
08-10-2021,Boeing 737-8H4 (WL),N8642E,Southwest Airlines,"Lexington, Virginia",0,Low
08-10-2021,Learjet 35A,unreg.,private,"near Little Belize, Corozal",0,High
10-10-2021,Let L-410UVP-E3,RF-94591,DOSAAF,"1,7 km E of Menzelinsk Airport",16,High
13-10-2021,Bombardier BD-700-1A10 Global 6000,9H-VJM,VistaJet,Johannesburg-O.R. Tambo International Airport (JNB),0,Medium
14-10-2021,Antonov An-2T,N857PF,private,"near Wilton-Alta Mesa Airpark, CA",0,High
15-10-2021,Cessna 208B Grand Caravan,8R-GFA,Air Services Limited - ASL,Kamarang Airport (KAR/SYKM),1,Low
18-10-2021,Beechcraft 200 Super King Air,N996LM,Lowcountry Aviation Co Brokerage LLC,"Mount Pleasant Regional-Faison field, SC (KLRO)",0,Medium
19-10-2021,Antonov An-2R,RA-33350,AeroUral,"near Alapayevsk, Sverdlovsk region",0,Medium
19-10-2021,Rockwell Sabreliner 60,XB-ETV,private,Jacmel Airport (JAK),0,Medium
19-10-2021,McDonnell Douglas MD-87,N987AK,987 Investments LLC,"Houston Executive Airport, TX (KTME)",0,High
22-10-2021,Embraer EMB-500 Phenom 100,N925DR,Scout About LLC,"Orlando International Airport, FL (MCO)",0,Medium
22-10-2021,Cessna 208B Supervan 900,N754KP,Alaska Seaplanes,"Juneau International Airport, AK (JNU)",0,Medium
23-10-2021,Embraer ERJ-175LR,N252NN,"Envoy Air, opf American Eagle","Miami International Airport, FL (MIA/KMIA)",0,Low
25-10-2021,Cessna 208 Caravan I,PK-SNN,Smart Cakrawala Aviation,Ilaga Airport (ILA),1,High
29-10-2021,Cessna 208B Grand Caravan,PK-RVH,Reven Global Transpor,Dagi Baru Airstrip,0,High
30-10-2021,Beechcraft 200 King Air,C-GEHS,"PAL Airlines, opf EHS LifeFlight Services","Halifax-Stanfield International Airport, NS (YHZ/CYHZ)",0,Medium
01-11-2021,de Havilland Canada DHC-6 Twin Otter 300,C-GNPS,Air Tindi,"12,4 km NW of Fort Providence, NT",0,Medium
02-11-2021,Antonov An-26,TR-NGT,"Optimum Aviation, opf Euro Airlines","2,5 km N of Juba Airport (JUB)",5,High
03-11-2021,Beechcraft Super King Air,others,private,western Venezuela,0,High
03-11-2021,Antonov An-12BK,EW-518TI,Grodno Aircompany,3 km SE of Irkutsk Airport (IKT),9,High
03-11-2021,Transall C-160NG,EY-360,Safe Air Company (SAC),Dolow Airport,0,High
05-11-2021,Gulfstream ?,others,private,western Venezuela,0,High
05-11-2021,Gulfstream Aerospace G-1159A Gulfstream III,N42FL,private,"near Victoria 3, Retalhuleu",0,High
06-11-2021,Antonov An-2R,YR-PMW,Asociatia Club Sportiv Skydiving Center,Letca Noua Airfield,0,Medium
13-11-2021,Britten-Norman BN-2A-6 Islander,N866JA,Island Airways,"0,1 km S of Beaver Island-Welke Airport, MI",4,High
14-11-2021,IAI 1125 Astra SP,N771DX,EMD Astra Holdings LLC,"Las Vegas-North Air Terminal, NV (VGT)",0,Medium
21-11-2021,Bombardier BD-100-1A10 Challenger 350,N743QS,NetJets,50 km N of Turks and Caicos Islands,0,Low
25-11-2021,Airbus A320-251N,PR-YRH,Azul Linhas Aéreas Brasileiras,"Cuiabá-Marechal Rondon International Airport, MT (CGB/SBCY)",0,Low
28-11-2021,Beechcraft 200 Super King Air,N71VT,Western Wings Corp,"Eugene Airport, OR (EUG)",0,Medium
29-11-2021,Boeing 747-4B5F,N705CK,Kalitta Air,"between Santiago and Miami, FL",0,Medium
01-12-2021,Cessna 510 Citation Mustang,N81CB,private,"Lake Havasu City Airport, AZ (KHII)",0,Medium
01-12-2021,Cessna 208 Caravan I,N9602F,Lake & Peninsula Airlines,"W of Port Alsworth Airport, AK (PTA)",0,Medium
05-12-2021,Airbus A350-941,F-HNET,Air CaraÃ¯bes Atlantique,near Cayenne,0,Low
05-12-2021,Cessna 560XL Citation Excel,G-IPAX,Air Charter Scotland Ltd.,Kemi/Tornio Airport (KEM),0,Medium
10-12-2021,Swearingen SA-226AT Merlin IV,N54GP,Castle Aviation,"0,6 km SW of Manchester-Boston Regional Airport, NH (MHT/KMHT)",1,High
11-12-2021,Boeing 737-8AS (WL),EI-EMM,Ryanair,Dublin Airport (DUB/EIDW),0,Low
12-12-2021,Airbus A320-251N,N307FR,Frontier Airlines,"Las Vegas-McCarran International Airport, NV (LAS)",0,Medium
14-12-2021,Embraer EMB-500 Phenom 100,PR-TDV,Dimed SA Distribuidora da Medicamentos,"Santa Rosa Airport, RS (SRA)",0,Medium
15-12-2021,Gulfstream G-IVSP,HI1050,Helidosa Aviation Group,Santo Domingo-Las Américas International Airport (SDQ),9,High
17-12-2021,Beechcraft B200 Super King Air,C-FSKO,Keewatin Air,"Sanikiluaq Airport, NU (YSK)",0,Medium
20-12-2021,Cessna 525 CitationJet,N287CB,Cottingham & Butler Insurance Services,"Dubuque, IA",0,Medium
21-12-2021,Airbus A321-271NX,N2084J,JetBlue Airways,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",0,Low
21-12-2021,Learjet 35A,XA-VDK,private,Cancún Airport (CUN/MMUN),0,High
21-12-2021,Cessna 208B Super Cargomaster,N1116N,Martinaire,"Fulshear, TX",2,High
23-12-2021,Shorts 360-300,9S-GPS,Malu Aviation,"14,8 km NW of Shabunda",5,High
25-12-2021,Airbus A330-343,C-GFAF,Air Canada,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",0,Medium
27-12-2021,Learjet 35A,N880Z,Aeromedevac Air Ambulance,"El Cajon, San Diego",4,High
28-12-2021,Beechcraft A100 King Air,N93GT,Sky-Bound Aviation LLC,"Helena-Thompson-Robbins Airport, AR (HEE)",0,Medium
28-12-2021,Cessna 208B Grand Caravan,Z-HAC,Halsted Aviation Corporation (HAC),Bazaruto Island Airport (BZB),0,High
30-12-2021,Embraer ERJ-170SE,N633RW,"United Express, opb Republic Airlines","Newark-Liberty International Airport, NJ (EWR)",0,Medium
30-12-2021,Airbus A330-303,TC-JOK,THY Turkish Airlines,"Newark-Liberty International Airport, NJ (EWR)",0,Low
30-12-2021,Beechcraft 300 Super King Air,TG-MAM,"Empresas Ginro, S.A.",Rio Dulce-Las Vegas Airport (LCF),0,High
01-01-2020,Gulfstream G IV,N962SS,Executive Charters Inc,"Van Nuys, CA",0,Low
02-01-2020,Antonov An-12A,-,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),5 km from Geneina Airport (EGN),18,High
03-01-2020,Hawker 900XP,N805D,Million Air San Juan,San Juan-Fernando Luis Ribas Dominicci Airport (SIG),0,Medium
03-01-2020,Harbin Y-12-II,SCL-857,Sri Lanka Air Force,"Haputale, Badulla",4,High
04-01-2020,Beechcraft B200 King Air,N200HF,"L.C. Whitford Co., Inc.","Morristown Municipal Airport, NJ (MMU)",0,Medium
05-01-2020,de Havilland Canada DHC-8-202Q,N8200L,US Special Operations Command (USSOCOM),Manda Bay-Camp Simba Air Base,0,High
05-01-2020,Beechcraft B300 King Air 350,others,L3 Technologies,Manda Bay-Camp Simba Air Base,2,High
08-01-2020,Boeing 737-823 (WL),N929NN,American Airlines,"New York-La Guardia Airport, NY (LGA)",0,Medium
08-01-2020,Boeing 737-8KV (WL),UR-PSR,Ukraine International Airlines,near Sabashahr,176,High
09-01-2020,Lockheed C-130BZ Hercules,403,South African Air Force - SAAF,Goma Airport (GOM),0,Medium
10-01-2020,Airbus A320-232,N1902U,United Airlines,"New Orleans, Louisiana",0,Low
10-01-2020,Airbus A321-231 (WL),VQ-BRS,Nordwind Airlines,Antalya Airport (AYT),0,Medium
12-01-2020,Boeing 737-8Q8 (WL),HL8243,Jin Air,30 km northwest of Fukuoka Airport,0,Low
13-01-2020,Airbus A320-214,OH-LXD,Finnair,Helsinki-Vantaa Airport (HEL/EFHK),0,Low
16-01-2020,Airbus A380-861,A6-EEN,Emirates,Beira FIR,0,Low
16-01-2020,Beechcraft B200 King Air,N547LM,LifeMed Alaska,"NW off Unalaska-Tom Madsen Airport, AK (DUT)",0,High
19-01-2020,Fairchild SA227-AC Metro III,C-GWVH,Perimeter Aviation,"Shamattawa Airport, MB (ZTM)",0,Medium
20-01-2020,Boeing 767-232 (BDSF),SE-RLC,West Air Sweden,Roma-Ciampino Airport (CIA/LIRA),0,Medium
20-01-2020,de Havilland Canada DHC-8-314 Dash 8,C-GXAI,Air Inuit,"Schefferville Airport, QC (YKL)",0,Medium
23-01-2020,Cessna S550 Citation S/II,ZS-CAR,South African Civil Aviation Authority,5 km NW of Friemersheim,3,High
23-01-2020,Lockheed EC-130Q Hercules,N134CG,Coulson Aviation,"near Cooma, NSW",3,High
24-01-2020,Gulfstream G150,N373ML,Compass Aviation LLC,San Juan-Fernando Luis Ribas Dominicci Airport (SIG),0,Medium
27-01-2020,Bombardier E-11A (Global Express),Nov-58,US Air Force (USAF),39 km NNW of Sharana FOB,2,High
27-01-2020,McDonnell Douglas MD-83,EP-CPZ,Caspian Airlines,Bandar Mahshahr Airport (MRX),0,High
28-01-2020,Boeing 737-6CT,C-GWJU,WestJet,"Vancouver International Airport, BC (YVR/CYVR)",0,Medium
28-01-2020,Boeing 737-76N (WL),C-FZWS,WestJet,"Vancouver International Airport, BC (YVR/CYVR)",0,Medium
30-01-2020,Hawker 900XP,XA-BNG,ALE - Aerolineas Ejecutivas,Monterrey-Aeropuerto Del Norte (NTR),0,High
31-01-2020,Bombardier DHC-8-402Q Dash 8,C-FKWE,WestJet Encore,"Terrace Airport, BC (YXT)",0,Medium
01-02-2020,Boeing 747-412F (SCD),TC-MCT,"ACT Airlines, opf Saudi Arabian Airlines",Dammam-King Fahad International Airport (DMM/OEDF),0,Medium
02-02-2020,Airbus A380-861,A6-EON,Emirates,"over Rocky Mountains, Wyoming",0,Low
